fold,auc,event_rate,n_test,tail_thr
1,0.7845041789021912,0.07539682539682539,252,-0.03337819240216616
2,0.40282778607183634,0.23412698412698413,252,-0.03275086835122546
3,0.4755255255255255,0.11904761904761904,252,-0.036588489815967594
4,0.019825072886297375,0.027777777777777776,252,-0.036993336114608685
5,0.5836368730736902,0.3412698412698413,252,-0.03513532157557084
6,0.45588235294117646,0.1349206349206349,252,-0.040214765052917434
7,0.2552083333333333,0.047619047619047616,252,-0.041637745798170006
8,0.5248246087425796,0.1349206349206349,252,-0.040732531434685915
