signal,loading
absorp_z,0.9961087890964331
peak_60,0.8484297458697395
curv,0.48457208762779064
acf1,0.3990779993430059
cf,0.368453281889337
var,0.3407176222272981
skew,0.19194621638935552
sync,0.11031884387024402
ent_z,-0.9868814607591216
