F_decile,path,n,p_tail,mean_ret
1,falling,6,0.16666666666666666,0.016176596089251094
1,rising,288,0.16666666666666666,0.0011802727056170305
2,falling,6,0.0,0.024390743024297352
2,rising,267,0.06367041198501873,0.019030707807348803
3,falling,7,0.14285714285714285,-0.010550582984321813
3,rising,287,0.0975609756097561,0.008954269422371496
4,falling,12,0.0,0.03292321125058526
4,rising,277,0.09747292418772563,0.012872987939951954
5,falling,9,0.0,0.009110248316468375
5,rising,264,0.11742424242424243,0.002072622508246293
6,falling,8,0.125,0.01469639739027212
6,rising,286,0.013986013986013986,0.02329304588998893
7,falling,9,0.2222222222222222,-0.010348412596860071
7,rising,264,0.20454545454545456,-0.007711318464465879
8,falling,9,0.0,0.01702331899473344
8,rising,285,0.15789473684210525,0.006463081002512856
9,falling,6,0.0,0.024963761735656936
9,rising,267,0.0,0.028079479083760333
10,falling,8,0.125,0.015112966738768413
10,rising,265,0.08679245283018867,0.028712931022070325
