Signal,Mean_Loading,Std_Loading,Stability_Ratio
absorp_z,0.9923281725610996,0.00237382560755793,0.0023921779842538704
ent_z,-0.9957664929170273,0.003550431500853975,0.003565526181193015
peak_60,0.8498330932761692,0.01827739363687341,0.021507039183883987
cf,0.3697270998224156,0.018438249037349513,0.049869887942095015
acf1,0.4166299042588611,0.0220325334881016,0.052882746204313345
curv,0.4748211855612971,0.027798067401999242,0.05854428624342017
sync,0.12356009982271028,0.01314494884001259,0.10638506167255597
skew,0.22506404205607802,0.04862677337007945,0.2160574960159443
var,0.4361989018399618,0.09656534060555341,0.22137914652696938
