,ASF,Connectivity,Future_Drawdown
2010-03-08,0.44190969999327345,0.1601118832158939,0.005898068223658137
2010-03-09,0.4418983274457581,0.16003015908615315,0.005898068223658137
2010-03-10,0.4418840516638304,0.1596851182460721,0.005898068223658137
2010-03-11,0.4418025190813103,0.1525647292609585,0.005898068223658137
2010-03-12,0.44172989119947675,0.15293814903798048,0.005898068223658137
2010-03-15,0.4416517447768263,0.15294334825666278,0.005898068223658137
2010-03-16,0.44156866760164276,0.15360238928920736,0.005898068223658137
2010-03-17,0.44147827924046434,0.1605761262040479,0.005898068223658137
2010-03-18,0.4413757817702817,0.15966227206845054,0.012277597621592454
2010-03-19,0.44125394838892773,0.15846482241079138,0.012277597621592454
2010-03-22,0.44115982211349747,0.16322127438789466,0.012277597621592454
2010-03-23,0.441040285259683,0.16515537268402847,0.012277597621592454
2010-03-24,0.44093522570617283,0.16544000999470196,0.012277597621592454
2010-03-25,0.4408219656511424,0.17692125628975436,0.012277597621592454
2010-03-26,0.4406796608564792,0.17480118931666208,0.012277597621592454
2010-03-29,0.44057972355687114,0.14297126450879827,0.012277597621592454
2010-03-30,0.4404771288567927,0.1413376479397308,0.02031794858472065
2010-03-31,0.44037361569689853,0.14036777525026697,0.02031794858472065
2010-04-01,0.4402530571375692,0.1437908452078633,0.02031794858472065
2010-04-02,0.44007404734975364,0.15110104294359303,0.02031794858472065
2010-04-05,0.43989242541294005,0.14868163410250804,0.02031794858472065
2010-04-06,0.4397200061104776,0.1556128597553083,0.02031794858472065
2010-04-07,0.4395397762804964,0.15527008148588994,0.02031794858472065
2010-04-08,0.4393385698041555,0.1524913194495287,0.028264903763780293
2010-04-09,0.43914434359384064,0.1512462781037123,0.03506606362146525
2010-04-12,0.43895182523049897,0.1508749112912284,0.06535018651554984
2010-04-13,0.4387662035102765,0.14506451072865317,0.07944184223649428
2010-04-14,0.43859252158603934,0.15155949063638635,0.07944188541991952
2010-04-15,0.4384263193626772,0.14611100369180782,0.07944188541991952
2010-04-16,0.43825339748601694,0.14470778381387459,0.07944188541991952
2010-04-19,0.4381334570227375,0.14895526180320046,0.07944188541991952
2010-04-20,0.4379361770753518,0.1524165201735721,0.07944188541991952
2010-04-21,0.43772284962123337,0.14714934848075015,0.07944188541991952
2010-04-22,0.43751284257497897,0.14818254207696613,0.07944188541991952
2010-04-23,0.43693489404152736,0.15021654478483268,0.07944174502077365
2010-04-25,0.4363829339531493,0.15344794320357094,0.07835752883048563
2010-04-26,0.4358144110110557,0.16960109030766646,0.10388466844772438
2010-04-27,0.43525212483399056,0.16906761229298367,0.10388466844772438
2010-04-28,0.4347862448021066,0.1543038761034864,0.10388466844772438
2010-04-29,0.4342746972891041,0.14868611486371838,0.10216320623655904
2010-04-30,0.4337927740587834,0.14763269690013536,0.10216320623655904
2010-05-01,0.4333169987654426,0.13165561986817373,0.10385208432069212
2010-05-02,0.43286732601400646,0.13215273330401164,0.10885456660424098
2010-05-03,0.43241998835412065,0.13235743940972,0.08839833237327346
2010-05-04,0.43196496607129453,0.12695991465317982,0.08605859543384113
2010-05-05,0.43166311242862543,0.13035236735475758,0.08605859543384113
2010-05-06,0.4313542500911252,0.10279796471684839,0.08605859543384113
2010-05-07,0.43127826827733007,0.07147401682321869,0.08605859543384113
2010-05-08,0.4311288013390581,0.0752783005593122,0.08605859543384113
2010-05-10,0.43098404368281223,0.07619539525909597,0.08605859543384113
2010-05-11,0.43091544763911843,0.07535004428702913,0.08605859543384113
2010-05-12,0.4308220281644268,0.0721255469487059,0.07796454569578727
2010-05-13,0.43072688626207994,0.07137106039440567,0.07538529715565662
2010-05-14,0.4306266705876233,0.07333770143678559,0.07538529715565662
2010-05-17,0.4305723830499529,0.07739910320121098,0.06434527991390533
2010-05-18,0.43051553586621155,0.07826522364368471,0.05810648550255874
2010-05-19,0.43048569778399637,0.07489696241411964,0.04521689416215071
2010-05-20,0.4304225547924663,0.0696111296167015,0.04521689416215071
2010-05-21,0.43040033366428443,0.06581472134200611,0.04521689416215071
2010-05-22,0.430394463050328,0.06726420265142874,0.04521689416215071
2010-05-23,0.4303890746352542,0.06618950956471117,0.04521689416215071
2010-05-24,0.43038803936060593,0.06648617641431004,0.04521689416215071
2010-05-25,0.43035610530918916,0.06873728893344937,0.04521689416215071
2010-05-26,0.4302938533867896,0.06953007215975149,0.04521689416215071
2010-05-27,0.4302000738595799,0.0669782373826559,0.04521689416215071
2010-05-28,0.4301893675332884,0.0710675605940825,0.04521689416215071
2010-05-29,0.4301852642398621,0.07256100229733019,0.04521689416215071
2010-05-30,0.4301824606800256,0.07218316287214946,0.04521689416215071
2010-05-31,0.43018762757070866,0.07274512117445382,0.04521689416215071
2010-06-01,0.43019892823051864,0.07289612096453779,0.05860352865809336
2010-06-02,0.4302229784996085,0.06616559546807028,0.06788844316140417
2010-06-03,0.4302720481822668,0.06582522191365373,0.07269920829861891
2010-06-04,0.43031827497546327,0.06478150532053187,0.07736498672713928
2010-06-07,0.4304382626391865,0.06079909953421163,0.07736498672713928
2010-06-08,0.43054947351313405,0.05846462427667738,0.07736498672713928
2010-06-09,0.43065086144371484,0.0576278135478981,0.07736498672713928
2010-06-10,0.43078144782006433,0.04686515200741438,0.07736498672713928
2010-06-11,0.4309550090814689,0.047433852402410756,0.07736498672713928
2010-06-14,0.4311164024861893,0.04749410957414053,0.07736498672713928
2010-06-15,0.4312758532569408,0.0469927535578852,0.07736498672713928
2010-06-16,0.43144184818724707,0.05306319652280629,0.07736498672713928
2010-06-17,0.43161213874958865,0.05301654122645532,0.07736498672713928
2010-06-18,0.4317734107603756,0.05201701365426244,0.07475172256364111
2010-06-21,0.4319343959660961,0.052130180195308,0.06181078756499241
2010-06-22,0.4320927383904137,0.05419219591770388,0.06093042276832516
2010-06-23,0.4322567364831916,0.053353182651744005,0.04901510092672035
2010-06-24,0.4324121752317399,0.05279673877447782,0.04901510092672035
