Model,AIC_IS,AIC_OOS,BIC_IS,BIC_OOS,RMSE_IS,RMSE_OOS,MAE_IS,MAE_OOS,R2_IS,R2_OOS,Tail_RMSE_IS,Tail_RMSE_OOS
GAMLSS_Linear_Interaction,-18698.713056564287,-18698.713056564287,-18655.474379486706,-18655.474379486706,0.024552167113990157,0.05059318250049676,0.01777268241408954,0.03307755023405783,0.03535994447096402,-0.32530582697208277,0.0789813292301151,0.16022624471218055
GAMLSS_Threshold_Like,-18595.728717064914,-18595.728717064914,-18552.490039987333,-18552.490039987333,0.024929663957550422,0.05375599143763154,0.017952147338203717,0.03571489272400847,0.005468650512808315,-0.49618694708054756,0.08032872117546326,0.16507755028092747
GAMLSS_Simple,-18588.542380200364,-18588.542380200364,-18551.48065699101,-18551.48065699101,0.024827081301333515,0.05201168570197272,0.017990377595952806,0.034005658251071776,0.013636571594312752,-0.4006640061809177,0.07938414321595419,0.1630524628128276
Threshold_Regression,-16261.517440779484,-16261.517440779484,-16224.455717570128,-16224.455717570128,0.02457981538516207,0.050450674404190037,0.01777042169113198,0.03336232483529562,0.033186152914890354,-0.31785024476601853,0.07833929818223666,0.15743282236108028
Linear_OLS,-16202.546376491311,-16202.546376491311,-16184.015514886634,-16184.015514886634,0.024805263590020395,0.051029555104062846,0.01806245671345935,0.03317296666536653,0.015369416179557116,-0.3482662812462829,0.07839302267773506,0.16163939948434997
Linear_Interaction,-16269.507008791581,-16269.507008791581,-16244.799193318679,-16244.799193318679,0.024566038634038806,0.04998706391355347,0.017810839402160304,0.03254536204220459,0.03426962899508079,-0.2937410731349499,0.0783404651919136,0.1595648712605211
