date,close,volume
2025-12-23,87699.15,505792655
2025-12-22,88556.77,788281427
2025-12-21,88639.95,19845522660
2025-12-20,88324.0,14688196659
2025-12-19,88092.65,46733310561
2025-12-18,85460.02,52667115348
2025-12-17,86209.77,44243392914
2025-12-16,87854.01,41262178223
2025-12-15,86417.5,45559514323
2025-12-14,88171.61,50465972205
2025-12-13,90255.32,64237748110
2025-12-12,90278.0,80275884583
2025-12-11,92542.0,80275884583
2025-12-10,92035.99,65420694513
2025-12-09,92690.0,66861721440
2025-12-08,90653.86,66861721440
2025-12-07,90402.29,47394898960
2025-12-06,89267.97,47394898960
2025-12-05,89345.29,63256398633
2025-12-04,92093.54,77650204986
2025-12-03,93453.84,78546798211
2025-12-02,91308.05,87962894424
2025-12-01,86282.36,87962894424
2025-11-30,90369.51,38497902869
2025-11-29,90828.06,37921773455
2025-11-28,90902.7,60895830289
2025-11-27,91316.7,57040622845
2025-11-26,90468.84,66496301869
2025-11-25,87325.01,64837343545
2025-11-24,88266.2,74433896110
2025-11-23,86808.28,58083435576
2025-11-22,84684.0,40793099246
2025-11-21,85068.88,129157506112
2025-11-20,86536.88,97970645638
2025-11-19,91461.6,101333569062
2025-11-18,92914.46,101333569062
2025-11-17,92100.6,94186165724
2025-11-16,94183.97,71086235862
2025-11-15,95544.94,38500716654
2025-11-14,94503.96,114346441890
2025-11-13,99614.54,101546815416
2025-11-12,101639.01,71130078574
2025-11-11,103009.35,71130078574
2025-11-10,105979.38,69585887229
2025-11-09,104694.95,59679243013
2025-11-08,102285.57,59679243013
2025-11-07,103284.27,92168030081
2025-11-06,101290.5,92168030081
2025-11-05,103869.0,110967184773
2025-11-04,101468.15,110967184773
2025-11-03,106557.98,110967184773
2025-11-02,110536.01,34284209459
2025-11-01,110052.25,34284209459
2025-10-31,109555.27,60090359560
2025-10-30,108308.18,69673964814
2025-10-29,110032.13,69673964814
2025-10-28,112906.75,64528066504
2025-10-27,114087.06,64528066504
2025-10-26,114548.09,41708524143
2025-10-25,111666.21,24707667305
2025-10-24,111042.13,48160816980
2025-10-23,110116.03,54944076060
2025-10-22,107585.98,80807013218
2025-10-21,108362.27,101194375480
2025-10-20,110568.06,63507793085
2025-10-19,108676.78,47657008953
2025-10-18,107208.91,47657008953
2025-10-17,106463.3,99703051669
2025-10-16,108198.0,99703051669
2025-10-15,110804.12,92212917403
2025-10-14,113068.0,92212917403
2025-10-13,115274.03,93710414091
2025-10-12,115067.98,110236934340
2025-10-11,110768.89,110236934340
2025-10-10,112980.28,153125018868
2025-10-09,121714.51,74653009425
2025-10-08,123343.25,65354305286
2025-10-07,121393.95,76149412513
2025-10-06,124720.09,72568881188
2025-10-05,123520.79,73689317763
2025-10-04,122458.56,36769171735
2025-10-03,122318.4,83941392228
2025-10-02,120621.32,71415163912
2025-10-01,118659.97,71328680132
2025-09-30,114067.71,60000147466
2025-09-29,114365.07,60000147466
2025-09-28,112197.67,33371048505
2025-09-27,109681.16,26308042910
2025-09-26,109697.29,57738288949
2025-09-25,109035.72,75528654284
2025-09-24,113348.17,48044595085
2025-09-23,112017.21,47211853279
2025-09-22,112736.59,70684158591
2025-09-21,115282.27,22495852193
2025-09-20,115752.4,22864449614
2025-09-19,115690.55,49457272032
2025-09-18,117117.99,60528025996
2025-09-17,116484.4,60528025996
2025-09-16,116832.56,60528025996
2025-09-15,115381.08,53106442240
2025-09-14,115314.13,34549454947
2025-09-13,115968.35,34549454947
2025-09-12,116106.03,54785725894
2025-09-11,115540.0,56377473784
2025-09-10,113983.97,56377473784
2025-09-09,111549.32,47016140800
2025-09-08,112072.57,40212813407
2025-09-07,111129.61,24618007520
2025-09-06,110212.6,21500719036
2025-09-05,110670.02,60241647677
2025-09-04,110720.79,62086545408
2025-09-03,111756.41,61119643565
2025-09-02,111247.94,74776999491
2025-09-01,109240.55,66870372995
2025-08-31,108247.95,47986191770
2025-08-30,108827.93,51486264208
2025-08-29,108378.32,77843379644
2025-08-28,112574.85,58860155962
2025-08-27,111253.21,62137056409
2025-08-26,111788.01,69396320317
2025-08-25,110127.74,85706860190
2025-08-24,113478.0,74210828288
2025-08-23,115383.87,55377142586
2025-08-22,116908.68,83873603584
2025-08-21,112480.3,57817883700
2025-08-20,114276.0,67993811526
2025-08-19,112856.19,71657600353
2025-08-18,116286.76,72787808090
2025-08-17,117488.6,54562619392
2025-08-16,117455.68,48036922378
2025-08-15,117436.96,68665353159
2025-08-14,118389.79,104055627395
2025-08-13,123365.63,96564166656
2025-08-12,120113.18,73360105472
2025-08-11,118701.84,90528784177
2025-08-10,119309.37,73929555968
2025-08-09,116492.51,56518184960
2025-08-08,116683.79,59713005166
2025-08-07,117515.49,66161729536
2025-08-06,115028.83,56379133510
2025-08-05,114112.95,61039182286
2025-08-04,115051.85,54613991424
2025-08-03,114215.73,48099615826
2025-08-02,112542.74,58879041536
2025-08-01,113248.73,91294530181
2025-07-31,115761.13,91294530181
2025-07-30,117830.15,71298023424
2025-07-29,117933.39,68896148592
2025-07-28,118070.59,68463107433
2025-07-27,119465.52,56394530816
2025-07-26,117969.63,48508954046
2025-07-25,117633.27,104857024569
2025-07-24,118397.04,81919139840
2025-07-23,118810.44,66608604537
2025-07-22,120026.42,79217583118
2025-07-21,117428.79,69820091744
2025-07-20,117312.7,61006045184
2025-07-19,117914.17,47564562765
2025-07-18,118023.05,77945799785
2025-07-17,119273.69,74196590592
2025-07-16,118681.68,72238505984
2025-07-15,117781.64,98321661181
2025-07-14,119863.71,183004626944
2025-07-13,119130.81,49021091807
2025-07-12,117472.65,45524560304
2025-07-11,117582.16,86928361085
2025-07-10,116031.3,100968185856
2025-07-09,111282.85,59664580608
2025-07-08,108958.04,44282204127
2025-07-07,108269.84,46431363072
2025-07-06,109217.98,37724041216
2025-07-05,108246.65,30615537520
2025-07-04,108028.6,43229712384
2025-07-03,109628.83,50494742270
