date,open,high,low,close,adjClose,volume
1999-11-01,39.31,39.44,37.88,38.06,3.97915965335066,32000
1999-11-02,38.13,39.25,38.13,39.06,4.08370930267674,207500
1999-11-03,39.13,39.38,38.75,39.06,4.08370930267674,331100
1999-11-04,39.0,39.06,38.0,38.06,3.97915965335066,50200
1999-11-05,38.44,38.69,38.06,38.44,4.01888852009457,52100
1999-11-08,38.41,38.44,38.0,38.13,3.98647812880348,39300
1999-11-09,38.38,38.5,38.13,38.44,4.01888852009457,39200
1999-11-10,38.38,40.0,38.13,39.0,4.07743632371717,268300
1999-11-11,39.13,40.0,39.06,39.56,4.13598412733978,42700
1999-11-12,39.75,42.5,39.69,41.88,4.37853931377629,151200
1999-11-15,42.38,42.69,40.19,40.63,4.24785225211869,77900
1999-11-16,41.38,41.38,40.44,40.88,4.27398966445021,52600
1999-11-17,41.13,42.13,40.75,41.38,4.32626448911325,79000
1999-11-18,41.25,41.5,41.06,41.38,4.32626448911325,75400
1999-11-19,41.47,41.5,40.63,41.13,4.30012707678173,58400
1999-11-22,41.38,45.75,41.34,44.38,4.63991343709149,177800
1999-11-23,44.5,45.75,43.13,44.63,4.66605084942301,241100
1999-11-24,44.25,45.88,44.25,45.0,4.70473421967366,116200
1999-11-26,45.0,45.44,41.94,43.88,4.58763861242845,42600
1999-11-29,44.31,44.63,44.13,44.38,4.63991343709149,81500
1999-11-30,46.88,49.0,46.5,48.56,5.07693097127451,659000
1999-12-01,48.63,51.0,46.5,51.0,5.33203211563015,1208500
1999-12-02,50.56,51.75,49.0,51.56,5.39057991925275,661800
1999-12-03,51.63,52.5,50.25,51.41,5.37489747185384,283400
1999-12-06,51.13,51.5,47.13,47.5,4.96610834298886,72000
1999-12-07,47.69,50.0,47.5,49.88,5.21493650838494,106100
1999-12-08,49.75,50.13,49.63,50.0,5.22748246630407,91800
1999-12-09,49.63,50.5,48.88,49.0,5.12293281697799,242500
1999-12-10,49.0,50.0,48.13,48.94,5.11665983801842,127500
1999-12-13,49.13,49.13,47.0,47.75,4.99224575532038,51700
1999-12-14,47.75,47.75,46.5,46.88,4.90128756040669,326900
1999-12-15,46.63,47.0,46.5,46.75,4.8876961059943,163900
1999-12-16,47.0,47.0,45.56,46.5,4.86155869366278,66300
1999-12-17,47.0,49.56,46.63,48.88,5.11038685905886,203600
1999-12-20,49.69,51.44,49.59,51.38,5.37176098237406,150700
1999-12-21,50.5,51.5,50.06,50.5,5.27975729096711,47100
1999-12-22,50.75,50.75,50.13,50.25,5.25361987863559,60700
1999-12-23,50.25,51.88,50.25,51.38,5.37176098237406,92600
1999-12-27,51.31,53.69,51.0,52.31,5.46899215624732,166300
1999-12-28,51.75,55.25,51.75,55.03,5.75336720241426,82700
1999-12-29,55.13,55.44,52.75,53.13,5.5547228686947,52600
1999-12-30,53.13,54.38,52.94,53.88,5.63313510568926,31700
1999-12-31,54.38,55.88,53.94,55.06,5.75650369189404,77300
2000-01-03,56.5,59.06,55.63,58.5,6.11615448557576,292500
2000-01-04,56.75,56.75,53.5,54.81,5.73036627956252,234200
2000-01-05,54.63,55.31,53.88,55.06,5.75650369189404,345700
2000-01-06,54.22,54.69,51.13,52.06,5.4428547439158,94700
2000-01-07,51.91,53.63,51.63,51.97,5.43344527547645,162400
2000-01-10,54.38,60.44,53.06,58.94,6.16215633127923,372900
2000-01-11,59.38,63.5,59.38,61.13,6.39112006330335,349100
2000-01-12,60.63,62.38,59.88,62.38,6.52180712496096,264100
2000-01-13,62.5,63.0,60.88,62.91,6.57721843910378,192900
2000-01-14,63.06,70.31,63.0,67.13,7.01841795925984,325800
2000-01-18,66.78,68.63,66.5,67.25,7.03096391717897,299000
2000-01-19,67.31,69.44,66.0,69.13,7.227517257912,181700
2000-01-20,69.31,69.94,66.88,67.97,7.10623966469375,135500
2000-01-21,67.06,67.44,65.06,66.63,6.9661431345968,128200
2000-01-24,66.19,67.75,65.75,67.56,7.06337430847006,104300
2000-01-25,67.0,68.0,64.0,67.53,7.06023781899027,131600
2000-01-26,67.44,67.88,65.0,65.56,6.85427500981789,64900
2000-01-27,65.13,66.13,63.69,64.5,6.74345238153225,61900
2000-01-28,63.38,64.13,59.25,60.59,6.33466325266727,137400
2000-01-31,60.5,62.63,59.25,62.38,6.52180712496096,186500
