,ASF,Basal_Corr,Future_DD_Mag,Era,Era_Dummy
1993-01-21,0.12106164876422706,0.29151588398955525,0.00447767281264877,1990-1999 (Pre-ETF),0
1993-01-28,0.11956482012385036,0.2899922881701633,0.011671898678803028,1990-1999 (Pre-ETF),0
1993-02-04,0.11813219264860249,0.2884100032542224,0.035634818713121574,1990-1999 (Pre-ETF),0
1993-02-11,0.11670073372206334,0.2867744141283446,0.031541783946919644,1990-1999 (Pre-ETF),0
1993-02-19,0.11548453458691249,0.2850233426677087,0.0015660095662788365,1990-1999 (Pre-ETF),0
1993-02-26,0.11424399957814094,0.28305758922145613,0.022193144096543937,1990-1999 (Pre-ETF),0
1993-03-05,0.11310179626223651,0.2809990862588887,0.0281768559758524,1990-1999 (Pre-ETF),0
1993-03-12,0.11206508892285867,0.2789454638720318,0.03621363295825264,1990-1999 (Pre-ETF),0
1993-03-19,0.11097938083807178,0.2767571058361389,0.03696295793145887,1990-1999 (Pre-ETF),0
1993-03-26,0.1099175285200517,0.2744522185908683,0.031801309288478574,1990-1999 (Pre-ETF),0
1993-04-02,0.10872397391767642,0.27190479677380325,0.017784738763898078,1990-1999 (Pre-ETF),0
1993-04-12,0.10744405259113489,0.26920970636606245,0.03307533227862314,1990-1999 (Pre-ETF),0
1993-04-19,0.10610897472490892,0.2664905330927952,0.03110888833857617,1990-1999 (Pre-ETF),0
1993-04-26,0.10472962336540874,0.2636249678526123,-0.0,1990-1999 (Pre-ETF),0
1993-05-03,0.10339827932797967,0.2607605962065942,0.004723582647591318,1990-1999 (Pre-ETF),0
1993-05-10,0.10202293426573886,0.25783897513838877,0.005487788488642398,1990-1999 (Pre-ETF),0
1993-05-17,0.10069359364575088,0.25472042455269533,-0.0,1990-1999 (Pre-ETF),0
1993-05-24,0.09960625133591981,0.25184556486425924,0.011540208544049912,1990-1999 (Pre-ETF),0
1993-06-01,0.09858499426539141,0.24898074403484705,0.024238151566585375,1990-1999 (Pre-ETF),0
1993-06-08,0.09766003763748261,0.24619211111006797,0.004227485145231746,1990-1999 (Pre-ETF),0
1993-06-15,0.09653138774137243,0.24328927326826805,0.007708343662116257,1990-1999 (Pre-ETF),0
1993-06-22,0.0953241325416079,0.24019846148939117,0.0069517775310743435,1990-1999 (Pre-ETF),0
1993-06-29,0.09419162442499199,0.2370063685059209,0.017439960563941037,1990-1999 (Pre-ETF),0
1993-07-07,0.09312504826591032,0.23383491316702232,-0.0,1990-1999 (Pre-ETF),0
1993-07-14,0.09207198024860004,0.23066670446166315,0.006443285600344573,1990-1999 (Pre-ETF),0
1993-07-21,0.09102217481582395,0.22740184687305223,-0.0,1990-1999 (Pre-ETF),0
1993-07-28,0.09007949535461955,0.22424143968593024,-0.0,1990-1999 (Pre-ETF),0
1993-08-04,0.08917534795486086,0.22126343597812512,-0.0,1990-1999 (Pre-ETF),0
1993-08-11,0.08829613805187898,0.2183306826044529,-0.0,1990-1999 (Pre-ETF),0
1993-08-18,0.08723275968149966,0.21527249968945794,-0.0,1990-1999 (Pre-ETF),0
1993-08-25,0.08617128402085918,0.21252035319453752,0.0057375407394044675,1990-1999 (Pre-ETF),0
1993-09-01,0.08507469567664307,0.20973423468785884,0.012220670920216836,1990-1999 (Pre-ETF),0
1993-09-09,0.08391630325146489,0.20691598686374343,2.187926912566862e-05,1990-1999 (Pre-ETF),0
1993-09-16,0.08275315234653118,0.2041718765919688,0.004222629067178296,1990-1999 (Pre-ETF),0
1993-09-23,0.08164508282598343,0.20152658559940473,0.0005461615880928417,1990-1999 (Pre-ETF),0
1993-09-30,0.08056288842094304,0.19911081875820644,0.0031377387932532974,1990-1999 (Pre-ETF),0
1993-10-07,0.07934177993950142,0.19664940005919418,0.003680479263824421,1990-1999 (Pre-ETF),0
1993-10-14,0.07807082215651573,0.1941250912669065,0.020007275896028576,1990-1999 (Pre-ETF),0
1993-10-21,0.07685524462947858,0.19167993900960004,0.01691162834131943,1990-1999 (Pre-ETF),0
1993-10-28,0.07562028941141896,0.18927098913046778,0.021893016294505907,1990-1999 (Pre-ETF),0
1993-11-04,0.07440688166033962,0.1868522785128222,0.01095101391285136,1990-1999 (Pre-ETF),0
1993-11-11,0.0732174338364744,0.1843703256931463,0.031536456842272464,1990-1999 (Pre-ETF),0
1993-11-18,0.07194805258799378,0.1818945300313658,0.037444427622614684,1990-1999 (Pre-ETF),0
1993-11-26,0.07066580185578698,0.17948786316822007,0.04556646269330511,1990-1999 (Pre-ETF),0
1993-12-03,0.06939780244138499,0.17708141399419008,0.04932354421658136,1990-1999 (Pre-ETF),0
1993-12-10,0.06825481125519074,0.1747209538393898,0.047356285576597545,1990-1999 (Pre-ETF),0
1993-12-17,0.06708050878909282,0.1724348884733381,0.05236076412381874,1990-1999 (Pre-ETF),0
1993-12-27,0.0659268852174944,0.17008027442437162,0.06073876093602193,1990-1999 (Pre-ETF),0
1994-01-03,0.06480345031947228,0.16773781531760534,0.05044691230484433,1990-1999 (Pre-ETF),0
1994-01-10,0.06363534200640282,0.16546581050832182,0.07008647364358522,1990-1999 (Pre-ETF),0
1994-01-17,0.06248044299911302,0.163483352106285,0.06621592466974535,1990-1999 (Pre-ETF),0
1994-01-24,0.06132311196587223,0.1614623939494847,0.063584570392201,1990-1999 (Pre-ETF),0
1994-01-31,0.060177227150869705,0.15936805612402677,0.08232801458121952,1990-1999 (Pre-ETF),0
1994-02-07,0.05911827713936675,0.15744224551048583,0.0631677499018024,1990-1999 (Pre-ETF),0
