,CAGR,Vol,Sharpe,MaxDD
Benchmark (SPY),0.12033219511571058,0.1995664561664551,0.5027507981202269,-0.47165235702333486
Minsky (Structure Hedge),0.12203481952023187,0.1987733976942442,0.5133223092417183,-0.47165235702333486
Reactive (Vol Hedge),0.09966380798357077,0.1732058983153402,0.4599370388561141,-0.47165235702333486
