Lag,F_Stat,P_Value,Significant
1,1.2988042735799918,0.2544913633036662,False
2,10.513124587906747,2.7839770693463863e-05,True
3,9.757319061862988,2.050784026780773e-06,True
4,6.772076374767387,1.9747509978598253e-05,True
5,3.7810700119990033,0.0020300964521563877,True
