Model,SE_Coef,SE_PVal,R2
SE only,0.005111820293749393,4.703122881425637e-13,0.011248578199026027
SE + VIX,0.0039949587174281445,1.4783648389066328e-07,0.01452511601497275
SE + VIX + Term,0.005002435502930719,7.30146953352932e-11,0.026567774994331494
Full Macro,0.005091974233986929,8.519587443874989e-11,0.026634006948268008
