,CAGR,Volatility,Sharpe,Max_DD,CVaR_5%
Benchmark (B&H),0.06206820533425961,0.19264224211129075,0.4095774735229668,-0.567753877427729,-0.02919406180781236
V1 (Rolling Q),0.07234495951863118,0.1560711732795619,0.5259598609050982,-0.4914694789846552,-0.02375463457701903
V2.1 (Enhanced),0.023900829438153526,0.14810719114512666,0.23389047916114597,-0.557217978888242,-0.0234555864304699
