corr_63d,corr_126d,corr_252d,fwd_21d,fwd_63d,fwd_126d,max_dd_6m,date
0.0801337255733096,-0.0067857357034631005,,3.536705021853548,5.105699759165105,15.513335117295512,0.0,2010-09-14
0.022352933420273387,-0.013730000663957822,,4.025353336570658,5.883405321133739,14.19480154369106,-0.6738739659740367,2010-10-14
0.17688268751394337,-0.0025731383094374245,0.1019166941011337,-3.456887586630941,1.522730895648161,-11.721839726120976,-16.5587496299445,2011-05-23
-0.29304939515472933,-0.1577349139521747,-0.02210699652078272,8.094974362639128,6.738070140960817,10.452360959748441,-1.8071212906222711,2011-08-08
0.05831472224291726,-0.030153344996288026,0.14780017579756224,1.4823405959185854,0.9996410128959132,3.575511556623323,-3.797531273299648,2013-12-18
0.05351248012870478,-0.004208566786702173,0.15804783723360896,0.1482833352344004,0.25311367845872734,2.3676449021492907,-5.387084684449794,2013-12-30
0.06557516074402371,-0.005203820512186821,0.13763404779243496,-2.4748599987956865,2.7589680145831297,3.8253310487910364,-4.646452481702667,2014-01-06
-0.19172609249590455,-0.042046215947231715,-0.17159306383786868,-4.098775377874276,0.8242743389349272,1.2408325269067877,-10.15114971042329,2015-08-20
0.04444834034944823,-0.0029326534781685247,-0.09399190669186608,0.7691866358125132,5.138748111457492,9.332746849241724,-0.3817246457189838,2018-04-03
0.028002398827889612,-0.004222326252140692,-0.09576706648814695,0.15397094831082203,4.038169773625144,7.1630289465382635,-2.192020549488527,2018-04-05
-0.07467384566450146,-4.419911008617703e-05,-0.05253924449086552,2.4349697932524172,3.275377169670146,7.987556073233404,-2.6435972384508455,2018-05-18
-0.1030525390554079,-0.0016639194119297933,-0.057106492351026536,2.006408188403652,4.020881602487014,6.827580139015144,-3.171466697949976,2018-05-24
0.19536324627072185,-0.0025019933525241007,-0.03594555701225014,1.2090059323675018,1.592057316879969,-7.297340116534934,-17.22498987800799,2018-08-03
0.18984448954179264,-0.0013073190171836392,-0.036665399093737984,1.971515554466885,-2.5202085593309276,-7.230640025195079,-17.727543129089828,2018-08-08
0.1668879388473691,-0.007679611688431252,-0.00924298002686862,2.491865865730891,-0.325010555746752,-11.049294450338309,-16.579441308273935,2018-08-15
0.22811543622567843,-0.0019887246518088364,0.026630297569346383,-3.329697140713761,-5.580924785871833,-7.739928492035353,-19.094140682801264,2018-09-26
-0.13673608395726838,-0.013512362656755768,-0.021371640239403036,0.43982304452840904,-2.8526189629705656,0.6362773377511122,-13.827670000769688,2018-10-11
-0.06102432210480157,-0.010535326123959736,0.009332525541774741,0.14729333762775187,9.184034187765633,14.21989520570004,-7.652969040904345,2018-12-17
-0.04567108068143858,-0.013640935672261812,-0.051189561847388716,-4.533587145472707,-2.1174145532179334,3.804538213929254,-6.122556892916398,2019-07-26
-0.11241939958422832,-0.1442753816546659,-0.16975489326225113,-8.202447787179734,5.631828610633627,18.948956481324373,-17.47017727644945,2020-03-13
-0.13417528548477226,-0.0003166850215911138,0.09660014411191255,3.248563500906676,-2.1773612112473084,-1.6798846431146375,-14.775949837233194,2021-12-02
-0.14075951619034466,-0.0006295680156876226,0.08810383516982617,2.7327226347567013,-5.725031430915173,-5.938783072069443,-16.452879328845547,2021-12-13
-0.14195366815602928,-0.005000268991847605,0.07866989814795212,-0.19682155482659835,-4.986146055606866,-5.3165175111734015,-20.38748580103401,2021-12-15
-0.2769835473197518,-0.006071963123083667,0.23702404924953213,4.4465923255252005,7.980228860982397,2.007737156774314,-1.4943162760208017,2023-05-31
-0.30897944470090755,-0.007902974812735676,0.23091717179368082,1.5402685895893997,4.56896531593487,0.6101761407818485,-3.853003827319923,2023-06-02
0.06836298575177982,-0.006288246736567917,-0.038810428023089094,0.589726546196534,1.3798287242429375,9.50537941908458,-4.0198791176516036,2024-03-12
0.07326364728383647,-0.017864679338599733,0.021980789171023536,-2.1162858676733953,1.3476826316302315,4.297147398727974,-5.099757936788452,2024-03-22
0.017345011414088427,-0.0004243451110154847,0.13565289249542425,-6.269548994722207,2.669586445567962,10.787924182843355,-13.606793860835442,2025-03-24
0.005934146444116588,-0.0014769964240507359,0.13382757751374572,-7.212487617067021,3.844154201766292,11.347684654999203,-12.480240000562059,2025-03-27
-0.04902762423772255,-0.004290670569736787,0.04665867491582651,1.033516675588908,7.588241552436625,12.95172024797646,-0.5567817776824469,2025-05-27
-0.039675521807505304,-0.008151830020915527,0.0336685822413103,3.2631540562760186,6.895934441880813,11.63610205001724,-1.0818614580846986,2025-06-16
