Comparison,Q1_Mean,Q4_Mean,T_Stat,P_Value,Significant
Q1 vs Q4,-0.058455951246702546,-0.07475629578174538,2.6596796122731372e+16,0.0,True
Q1 vs Q5,-0.058455951246702546,-0.06070697605707684,4647064632634456.0,0.0,True
