period,fragility,drawdown,connectivity,liquidations,mean_return
0,4.342944892599121e-10,0.0,0.0,20,0.005066950462752117
1,4.342944892599121e-10,0.0,0.0,16,0.006567092898231404
2,4.342944892599121e-10,0.056639165538592745,0.0,32,-0.005663916553859274
3,4.342944892599121e-10,0.0,0.0,25,0.0020143665809651936
4,4.342944892599121e-10,0.05881913507341191,0.0,36,-0.005881913507341191
5,4.342944892599121e-10,0.03496657706194164,0.0,36,-0.0034966577061941637
6,4.342944892599121e-10,0.0,0.0,24,0.0025888668886288914
7,4.342944892599121e-10,0.0,0.0,12,0.008906113510397074
8,4.342944892599121e-10,0.06285951502016593,0.0,21,-0.006285951502016593
9,4.342944892599121e-10,0.0300743364868863,0.0,21,-0.00300743364868863
10,4.342944892599121e-10,0.002556696295051279,0.0,20,-0.0002556696295051279
11,4.342944892599121e-10,0.06769776102349266,0.0,26,-0.006769776102349266
12,4.342944892599121e-10,0.0,0.0,3,0.018126078491753916
13,4.342944892599121e-10,0.0,0.0,3,0.0006439975504971332
14,4.342944892599121e-10,0.025634274777197086,0.0,4,-0.0025634274777197085
15,4.342944892599121e-10,0.0,0.0,0,0.005902658028627217
16,4.342944892599121e-10,0.0,0.0,0,0.007034056052400433
17,4.342944892599121e-10,0.0,0.0,0,0.0034245106318925135
18,4.342944892599121e-10,0.14159428153565634,0.0,7,-0.014159428153565634
19,4.342944892599121e-10,0.037848750007934084,0.0,8,-0.0037848750007934084
20,4.342944892599121e-10,0.0,0.0,5,0.004463491650540405
21,4.342944892599121e-10,0.0,0.0,1,0.0036838505117293293
22,0.00027880649709066674,0.04239511170705891,0.002200919256364019,5,-0.004239511170705891
23,0.000978346678202957,0.04694096795359559,0.0037040383127168305,7,-0.0046940967953595595
24,0.002139889718302701,0.0,0.004950373837849831,7,0.001064898317850221
25,0.003630156137886864,0.0,0.006275278980726215,0,0.008330250443541052
26,0.005440371202952932,0.0764621330441651,0.007146720403344003,7,-0.00764621330441651
27,0.007376215591253343,0.006160708186453378,0.008207133982659352,7,-0.0006160708186453377
28,0.009477961009289881,0.05015506103663142,0.009531012619975016,9,-0.005015506103663142
29,0.011837155040592795,0.0,0.010616652951138922,1,0.00916216429518349
30,0.014393916192804834,0.0,0.0115849159096322,0,0.0016542718967405788
31,0.016455052638702505,0.021945225610889726,0.012888507895381884,1,-0.0021945225610889726
32,0.0186256075875999,0.07951401176207568,0.013785248924853543,8,-0.007951401176207568
33,0.020820599292545205,0.0,0.014370293885532716,5,0.0026516058042867483
34,0.02240759627749145,0.041340577844154264,0.013219637587255924,8,-0.004134057784415427
35,0.023866120036711846,0.0,0.012265889102306258,1,0.008097530198445054
36,0.02541277923881491,0.09183560382711216,0.011406098467920709,9,-0.009183560382711215
37,0.027018594625453973,0.031269094795048816,0.01086238979672633,11,-0.0031269094795048817
38,0.028208013594389514,0.0,0.01001938865833457,9,0.0007253750112274339
39,0.02925678009484678,0.07938218396899616,0.008843808244930262,14,-0.007938218396899616
40,0.03008053553564416,0.0,0.006655585539979287,11,0.0029697980386407257
41,0.0305925622652935,0.015002019208566548,0.004689474084782433,11,-0.0015002019208566549
42,0.031457388745501635,0.0,0.0029038206209089034,9,0.0018673189637642557
43,0.03230304949055807,0.0,0.0010398292294462573,1,0.007463308169106206
44,0.03291198484562896,0.0,-0.0004946819943033038,99,
45,0.033673048206838585,0.0,-0.001988765740622071,99,
46,0.030354085710776912,0.0,-0.0018893274535909685,99,
47,0.027369863623965318,0.0,-0.00179486108091142,99,
48,0.0246849235264035,0.0,-0.0017051180268658453,99,
49,0.022267935382970783,0.0,-0.0016198621255225562,99,
50,0.020091135714841668,0.0,-0.001538869019246426,99,
51,0.018129859718689523,0.0,-0.0014619255682841038,99,
52,0.016362147933255633,0.0,-0.0013888292898699003,99,
53,0.014768412836630995,0.0,-0.0013193878253764033,99,
54,0.013331154187658623,0.0,-0.0012534184341075865,99,
55,0.012034714428100002,0.0,-0.001190747512402207,99,
56,0.010865067318501453,0.0,-0.0011312101367820975,99,
57,0.009809634377291543,0.0,-0.001074649629942993,99,
58,0.008857124757385537,0.0,-0.0010209171484458423,99,
59,0.007997395016199338,0.0,-0.000969871291023549,99,
60,0.007221325876107909,0.0,-0.0009213777264723731,99,
61,0.006520713577873871,0.0,-0.0008753088401487547,99,
62,0.0058881738319227495,0.0,-0.0008315433981413167,99,
63,0.005317056695493649,0.0,-0.0007899662282342492,99,
64,0.0048013709653614844,0.0,-0.0007504679168225377,99,
65,0.00433571688940626,0.0,-0.000712944520981411,99,
66,0.003915226175881914,0.0,-0.0006772972949323403,99,
67,0.003535508424554301,0.0,-0.0006434324301857237,99,
68,0.003192603224976054,0.0,-0.0006112608086764368,99,
69,0.002882937268632424,0.0,-0.000580697768242616,99,
70,0.0026032859072516734,0.0,-0.0005516628798304843,99,
71,0.002350738662066254,0.0,-0.0005240797358389607,99,
72,0.00212266825058105,0.0,-0.0004978757490470123,99,
73,0.001916702750254795,0.0,-0.00047298196159466157,99,
74,0.0017307005639520812,0.0,-0.00044933286351492784,99,
75,0.0015627278912597742,0.0,-0.00042686622033918237,99,
76,0.0014110384437640011,0.0,-0.0004055229093222231,99,
77,0.001274055171980648,0.0,-0.00038524676385611167,99,
78,0.0011503537974499878,0.0,-0.0003659844256633061,99,
79,0.0010386479661368409,0.0,-0.00034768520438014104,99,
80,0.0009377758591426755,0.0,-0.0003303009441611341,99,
