Strategy,CAGR,Volatility,Sharpe,Max_Drawdown,Calmar,Sortino
Benchmark,0.08642658330386399,0.1995913303560583,0.4152002225713504,-0.5677538774277289,0.1522254391206082,0.5056832527323581
Stored Energy,0.060322442381500085,0.14603913490526496,0.33735554721456884,-0.42316967367086616,0.14254906751285257,0.40365664204009866
Vol-Timing (M&M 2017),0.113259072907266,0.190737235221273,0.5534684815611418,-0.4686248289266646,0.24168389277767008,0.7268468501042983
