Economy,Current_ASF,Status
Japan,0.7024200253532216,DANGER ZONE
China,0.625510323156675,Elevated
Europe,0.5292654059240209,Elevated
United Kingdom,0.35782146342726817,Normal
United States,0.25736896342852306,Normal
