Strategy,CAGR,Volatility,Sharpe,Max_Drawdown,Calmar,Turnover,Total_Return
Buy & Hold SPX,0.33525242058320015,0.40696573225710786,0.8237853804639218,-0.5629722115507747,0.5955043849494933,0.0,3.3779428540014678
60/40 Portfolio,0.4454229579555866,0.2394498163821734,1.8601933577792775,-0.30574324866122826,1.4568529637399361,0.0,4.4272519264252415
ASF Strategy,0.3294921047978825,0.367302703576938,0.897058751784724,-0.5488265648434378,0.6003574278367443,6.293907935396529,3.282337175528931
VIX Strategy,0.19940977556043604,0.2398604247161318,0.831357552194915,-0.3069434816078026,0.6496628451463,34.72,1.531038395178454
