lambda,R2
0.005,0.00930459564485775
0.00736842105263158,0.003675868108431124
0.009736842105263158,0.0009451979809074196
0.012105263157894737,5.8281648641189676e-05
0.014473684210526316,9.63813713005246e-05
0.016842105263157894,0.0005330542382802061
0.019210526315789477,0.0011139988812567392
0.021578947368421055,0.001724525910801522
0.023947368421052634,0.0023147897094257797
0.026315789473684213,0.002864462055335859
0.02868421052631579,0.0033667642011031562
0.03105263157894737,0.0038211777491495846
0.03342105263157895,0.004230018827840243
0.03578947368421053,0.004596781382362747
0.038157894736842106,0.004925323342038879
0.04052631578947368,0.00521946943648266
0.04289473684210526,0.0054828255201369025
0.045263157894736845,0.0057187016679681735
0.04763157894736842,0.005930091029579199
0.05,0.0061196765646959195
