Variable,Coefficient,Std_Error,T_Stat,P_Value
Stored Energy,0.0062949689699914185,0.0008225190749007529,7.653280224231863,2.3260698067554455e-14
VIX,0.0086816183999627,0.0011348574719665882,7.649963642498976,2.3861606512896727e-14
Absorption Ratio,0.0002476324042008041,0.000944844602682832,0.2620879703367793,0.7932641500272262
Realized Vol,-0.007489535798399921,0.001255350652148592,-5.966090658081251,2.593028383921579e-09
