Test,Regime,Beta,T-stat,R²,N
VIX → Drawdown,Contagion,0.0865530199409225,1.258249405578008,0.009101640324557403,356
VIX → Drawdown,Coordination,0.239145433368497,3.4679162761341438,0.07702485305725648,782
VIX → Drawdown,FULL (Ignoring Phase),0.18310133837989062,2.917569396927872,0.046986000891581226,1138
ASF → Drawdown,Contagion,0.3591712623474905,0.767214406498815,0.007110371788439984,356
ASF → Drawdown,Coordination,-0.29109822737978125,-2.579635768992516,0.026358203175732897,782
