,CAGR,Vol,Sharpe,MaxDD,Decade
Benchmark (S&P 500),0.1619204982155109,0.1410008646843479,0.9356006327396306,-0.1991869313469904,1990s
Minsky,0.16071519509288046,0.14103136398804297,0.9268519526192972,-0.1991869313469904,1990s
Reactive,0.10242211370128818,0.13260769194565145,0.5461381058571625,-0.2406061608787033,1990s
Benchmark (S&P 500),-0.02725726216323987,0.22228303308771544,-0.25758719128439056,-0.567753877427729,2000s
Minsky,-0.0019543035344513626,0.22086060977635508,-0.14468086258934312,-0.5677538774277282,2000s
Reactive,0.06353203903826299,0.19919670221609845,0.16833631613984137,-0.5481381341032876,2000s
Benchmark (S&P 500),0.1124302941543911,0.1477073201369917,0.5580650578315335,-0.19778210435682017,2010s
Minsky,0.11950843439351932,0.14794227788992556,0.6050226863487722,-0.1977821043568197,2010s
Reactive,0.09403173619882788,0.16475365950486914,0.388651374368625,-0.2805418820888612,2010s
Benchmark (S&P 500),0.12751101119296693,0.2133430194541626,0.4570621126599245,-0.33924960002653304,2020s
Minsky,0.12751101119296693,0.2133430194541626,0.4570621126599245,-0.33924960002653304,2020s
Reactive,0.16455809306551128,0.23980524197471237,0.5611140605496043,-0.28153703820453063,2020s
