Asset,Quintile,CVaR_Mean,CVaR_CI_Low,CVaR_CI_High
U.S. Equity,Q1,-0.05531832683592618,-0.06093156014422693,-0.04879458128453579
U.S. Equity,Q2,-0.10343208470609819,-0.1202892768055186,-0.08358801283019088
U.S. Equity,Q3,-0.06334712508045581,-0.07183481388767413,-0.054752289398431235
U.S. Equity,Q4,-0.06239194838603985,-0.0726860903490687,-0.05530419608646043
U.S. Equity,Q5,-0.06729662300430436,-0.07799006349157196,-0.06112801960375047
U.S. Credit,Q1,-0.018842362349398404,-0.020972912627452045,-0.016757306526374617
U.S. Credit,Q2,-0.07701643946657885,-0.10994845166277069,-0.05417838047926807
U.S. Credit,Q3,-0.03586399012384524,-0.03942474094010015,-0.03087835847544211
U.S. Credit,Q4,-0.03730483997250282,-0.04113292001764168,-0.031978644615343055
U.S. Credit,Q5,-0.039260815226004296,-0.04631940118439843,-0.031841944529923165
Global ex-U.S.,Q1,-0.05063558483354922,-0.05314558912015054,-0.04726334751776227
Global ex-U.S.,Q2,-0.11580337421606887,-0.14370810673019227,-0.09607524592736078
Global ex-U.S.,Q3,-0.07677500483593307,-0.08218529743312097,-0.07105885026297087
Global ex-U.S.,Q4,-0.07801378167160518,-0.0867275913918515,-0.0679934249392139
Global ex-U.S.,Q5,-0.09995209595617123,-0.10771516911766663,-0.09166700366853087
