,R2,AIC,Params,T-stats
Model 1 (Vol),0.10539846551584453,-35913.12083200974,"{'const': 0.026670058149865707, 'VIX': 0.007864763681687936, 'RV': 0.003487557474804592}","{'const': 78.31610987860597, 'VIX': 11.60119848022129, 'RV': 5.144445289639519}"
Model 2 (+AR),0.1087708950852283,-35944.70484464423,"{'const': 0.026670058149865707, 'VIX': 0.0090130269149458, 'RV': 0.003500726520886727, 'AR': -0.0022871190335331647}","{'const': 78.45973119056647, 'VIX': 12.783376758319752, 'RV': 5.17331148069535, 'AR': -5.799342881388511}"
Model 3 (+ASF),0.109246895160524,-35947.45527677204,"{'const': 0.026670058149865707, 'VIX': 0.009195575278195282, 'RV': 0.003169054649274221, 'AR': -0.0007067504754068542, 'ASF': -0.0017076620321377104}","{'const': 78.47627691658982, 'VIX': 12.953895306625347, 'RV': 4.569950123657832, 'AR': -0.8561943373203459, 'ASF': -2.179226785911285}"
Model 4 (Inter),0.10918847273601218,-35946.87209029697,"{'const': 0.026670058149865707, 'VIX': 0.009064151527443892, 'RV': 0.0030834795811958376, 'ASF': -0.0022123394800697437, 'Interaction': -0.00016166022696353054}","{'const': 78.4737035049323, 'VIX': 11.808053692477845, 'RV': 4.504105151516945, 'ASF': -5.103139654398928, 'Interaction': -0.3875322332616999}"
