horizon,horizon_name,ath_mean_dd,other_mean_dd,difference,p_value,ath_n,other_n
21,1 month,-3.5948889524752974,-3.796429755453293,0.2015408029779957,0.15805269058486107,665,3335
63,3 months,-7.65402072778941,-6.7903424045129155,-0.8636783232764946,0.0001239768317639776,646,3312
126,6 months,-11.878238840772854,-9.490372711000889,-2.3878661297719646,1.4931074403227176e-16,583,3312
252,1 year,-16.38386337589383,-13.069189103234429,-3.3146742726594027,2.963552614055789e-20,518,3251
