Crisis,Benchmark_Return,Strategy_Return,Benchmark_MaxDD,Strategy_MaxDD,DD_Protection
Black Monday 1987,-0.2508186447048669,-0.26723772484515396,-0.3174835182467832,-0.3324415691002489,-0.014958050853465688
Dot-Com Crash,-0.3794660895808206,-0.25240476389502164,-0.47776044373861526,-0.4031319660347148,0.07462847770390046
GFC,-0.5185262637265646,-0.5185262637265646,-0.5303389353166579,-0.5303389353166579,0.0
COVID Crash,-0.19870592269142673,-0.22941387573480865,-0.3392496000265328,-0.3670980701900506,-0.02784847016351777
Fed Tightening,-0.24769522239058828,-0.27784224378570477,-0.2524600811026375,-0.2846533427701483,-0.0321932616675108
