Strategy,CAGR,MaxDD,CVaR_5%,Time_Under_5%
Buy & Hold,0.08629815369221916,-0.5677538774277284,-0.028525714943718788,0.5420597484276729
Naive VIX Control,0.054776175579671404,-0.5688882069754566,-0.022274778818431793,0.6166142557651991
Regime-Conditional (ASF),0.08629815369221916,-0.5677538774277284,-0.028525714943718788,0.5420597484276729
