Energy_Window,SE_Coef,SE_PVal,R2,Significant
30,0.004869680163775302,4.101719305589459e-12,0.010269023110179964,True
60,0.005126710824255261,3.9580617307162376e-13,0.011316114961441803,True
126,0.004304461444798776,1.5762381445720693e-09,0.007956277712495408,True
252,0.0041687192575483875,7.918264452459267e-09,0.007478396253759456,True
