Quintile,CVaR_Mean,CVaR_CI_Low,CVaR_CI_High,Mean_Return,Mean_CI_Low,Mean_CI_High
Q1,-0.06031087495015328,-0.06439188516786931,-0.055730678461805856,0.005081875279055142,0.003461412495544969,0.006638052013308202
Q2,-0.06165109881301955,-0.06684871927864125,-0.057610780438820175,0.005735862290971062,0.0038684463499141465,0.007496347711473616
Q3,-0.06904226364834941,-0.07596815817769319,-0.06254482564824006,0.007450516229649721,0.005416539766121375,0.009311195704001879
Q4,-0.07437861274230646,-0.08333370068702461,-0.06567022055567241,0.009225592609888937,0.007265182292767064,0.011140096092388783
Q5,-0.06462258250580226,-0.06971481295637413,-0.0590679437958058,0.01507536571857061,0.013232534807355936,0.017033580480966183
