Strategy,CAGR,Volatility,Sharpe,MaxDD
Global EqWt (Benchmark),0.05347812122747109,0.13454958080810686,0.24881624324952162,-0.39537641981435045
Regime-Conditional (Global),0.060362682305950655,0.16013345380266145,0.2520565275241682,-0.4209325372550289
