,Benchmark,ASF_Strategy
CAGR,0.08714123130773554,0.07234495951863118
Volatility,0.1812998807143517,0.1560711732795619
Sharpe,0.5519185005350866,0.5259598609050982
Max_DD,-0.5677538774277289,-0.4914694789846552
CVaR_5%,-0.027179149560702054,-0.02375463457701903
