Model,RMSE,MAE,MAPE
Historical Mean,0.06983273135413594,0.0529772832950941,12273986510.681614
VIX Only,0.07300997015776317,0.055171542646967324,14701904930.048128
ASF Only,0.06946572061947223,0.05256447192527118,12152221060.354471
VIX + ASF,0.07225429881418083,0.05400527897598216,14506337284.119383
RealizedVol Only,0.0762393992143188,0.05787007719248472,15284837623.832193
All Predictors,0.0740407667430771,0.05548220193779831,15115930934.893032
