Model,R2,AIC,SE_Coef,SE_PVal,VIX_Coef,VIX_PVal,Interaction_Coef,Interaction_PVal
Without Interaction,0.019137644495412554,-17051.05223249927,0.004928151151843643,1.488942969327013e-13,0.003001325337444379,6.57404511760851e-06,,
With Interaction,0.02758296814471395,-17093.430595704704,0.004757221408241029,8.191450663576278e-13,0.001973081158489764,0.003733941023188889,0.004944805227901093,2.7609544865987155e-11
