threshold,ath_prob,other_prob,ratio,p_value
-10,82.23938223938224,54.66010458320517,1.5045595478910054,4.862258164697109e-32
-15,76.83397683397683,28.7603814211012,2.671521483286189,8.686343817789947e-100
-20,0.0,14.149492463857275,0.0,1.0
-25,0.0,9.689326361119656,0.0,1.0
-30,0.0,7.197785296831744,0.0,1.0
-35,0.0,0.0,0.0,1.0
-40,0.0,0.0,0.0,1.0
