N_Assets,SE_Coef,SE_PVal,R2,Significant
15,0.0008014467520562112,1.903637303331715e-18,0.01964370198501897,True
25,0.0009013368710690325,8.50617657305843e-19,0.020046629230939916,True
35,0.0014421367294230377,4.2794147117489666e-20,0.021541340350160754,True
45,0.0015051439951628209,2.329110017885108e-19,0.02069437714121103,True
