,CAGR,Volatility,Sharpe,Max_DD,CVaR_5%
Benchmark (B&H),0.06206820533425961,0.19264224211129075,0.4095774735229668,-0.567753877427729,-0.02919406180781236
ASF Dynamic (Net of Costs),0.07213439031383273,0.15606182064173846,0.5247230673372629,-0.49146947898465543,-0.023755755653252216
