Model,Beta_Primary,T_Stat,P_Value,R2,AIC
Univariate: ASF,-0.06003550569947357,-0.8867863193004335,0.37519395450252935,0.0030972916576385012,-3898.8639283241646
Univariate: VIX,0.18709695456754014,2.7215867253525925,0.006496933526780084,0.04438084360531935,-3966.406997696815
Univariate: RealizedVol,0.05977315760673677,1.8913287954878366,0.058580467099379176,0.023712589892114555,-3932.2350960943513
Univariate: MeanCorr,0.060035505699473676,0.8867863193004789,0.37519395450250514,0.0030972916576385012,-3898.8639283241646
Multivariate: All,-0.06860500972735678,-1.7190993440247861,0.08559628423583349,0.05551955745634096,-3981.130994904397
Incremental: ASF|VIX,-0.11611155689288795,-1.9382754867390344,1.7200788592797167e-05,0.011016359296223355,-3982.924121834767
