Model,R2,SE_Coef,SE_PVal,SE_Significant
SE Only,0.015245161687769015,0.005725880986173399,6.864773270330585e-19,True
SE + VIX,0.019137950190479702,0.004928216319833549,1.487767745180847e-13,True
Full (SE + VIX + AR + RealVol),0.026401461069264887,0.0062949689699914185,2.3260698067554455e-14,True
