,entropy,connectivity,asf
2010-04-13,0.6246442280229696,0.17043340345773952,0.3753557719770304
2010-04-14,0.6231557562882856,0.17249409301770213,0.37536321433570385
2010-04-15,0.6308793829631915,0.18181240916384112,0.3753320013492094
2010-04-16,0.6337646544143117,0.18508964776279105,0.3752865180703918
2010-04-19,0.6266487750021555,0.1742348422688967,0.37527684160502905
2010-04-20,0.6278100184389411,0.18050900704035164,0.37526140730480917
2010-04-21,0.6272957357240553,0.1854840752960144,0.3752486215896649
2010-04-22,0.6278734813030875,0.19619988787502463,0.37523301107520113
2010-04-23,0.6301714424964974,0.20019899738723881,0.3752059888073426
2010-04-26,0.6313044545657008,0.19605873037053917,0.37517343659047736
2010-04-27,0.6290273759000726,0.19622299172351054,0.3751524325280246
2010-04-28,0.6226890037488522,0.1852306059207201,0.3751632253466402
2010-04-29,0.6260533776228633,0.17505311527775685,0.3751571423317927
2010-04-30,0.6256606662027998,0.17588316681033936,0.37515305328911974
2010-05-03,0.6260258697277725,0.18638723922221812,0.37514715867403525
2010-05-04,0.6309577296179003,0.19412189818842548,0.3751166342325756
2010-05-05,0.624752529284233,0.17681283692874342,0.37511728841499153
2010-05-06,0.6193409126802418,0.17397381393368233,0.37514499740951535
2010-05-07,0.6470331871808143,0.16536392205184983,0.3750341064865637
2010-05-10,0.6546825963110079,0.1631506524462927,0.3748855229725759
2010-05-11,0.6497303832091132,0.15773098032329663,0.3747624434416674
2010-05-12,0.6585412971286996,0.16081012734342565,0.3745959247388156
2010-05-13,0.6574315520613988,0.15737814991584337,0.3744357873548145
2010-05-14,0.6587950940613339,0.158076290058056,0.37426963294773374
2010-05-17,0.6530136150095269,0.15245470469789849,0.37413321670794747
2010-05-18,0.6554349381737827,0.1486999214180733,0.3739853759335388
2010-05-19,0.6534195969889629,0.15034177618775962,0.3738483510689263
2010-05-20,0.6554908953633397,0.15578552432232698,0.37370165483676493
2010-05-21,0.6490065807233342,0.14998701559743252,0.37358811365896444
2010-05-24,0.6567416357445645,0.14425868412657328,0.3734364649119468
2010-05-25,0.6618186707101339,0.14711725724032113,0.3732601892338364
2010-05-26,0.6625584541382833,0.14586381607517715,0.3730810960169758
2010-05-27,0.6642953924932962,0.14557429792780638,0.3728942135744244
2010-05-28,0.6536995012215339,0.1299551934422251,0.3727612450004446
2010-06-01,0.6530363937038224,0.12780412294776283,0.3726322568069233
2010-06-02,0.6551611378195337,0.12577935387818323,0.372493289833791
2010-06-03,0.6554724903146026,0.12380880377880053,0.37235346093304905
2010-06-04,0.6565540156552286,0.12313419497720315,0.37220892355010765
2010-06-07,0.6527980870793453,0.11608538210084356,0.3720838884969604
2010-06-08,0.6550597934188744,0.11503569335773695,0.3719481700873812
2010-06-09,0.6539705121104631,0.11377391277980169,0.37181857667639195
2010-06-10,0.6551496024469627,0.11352319293603853,0.3716837357807752
2010-06-11,0.6455822771980521,0.11351710710915575,0.37159740571588107
2010-06-14,0.646950296231322,0.1181792901134132,0.37150466720614506
2010-06-15,0.6466945506684031,0.11804880426246164,0.3714136711167723
2010-06-16,0.6439561136589169,0.1114046392525341,0.3713368221928939
2010-06-17,0.6437563775469519,0.11070758277069512,0.37126135619419465
2010-06-18,0.6415266231862691,0.11506965363420726,0.3711974162972923
2010-06-21,0.6419816506104764,0.11187746880820967,0.3711315209627534
2010-06-22,0.6416914935834643,0.1113134768946441,0.37106740589002235
2010-06-23,0.6409619678617854,0.11120897086221906,0.3710072590212633
2010-06-24,0.6400756571175436,0.08359498045483149,0.3709518444405693
2010-06-25,0.6399100710958499,0.08111669961653599,0.3708975348628872
2010-06-28,0.6418444780712614,0.08416965850203022,0.3708338247982164
2010-06-29,0.642545186888706,0.08325645280194584,0.3707669297397818
2010-06-30,0.6397354416671495,0.08560371345000305,0.3707144178827471
2010-07-01,0.639675387087764,0.085097008181998,0.37066246885789456
2010-07-02,0.643322243000058,0.08742125885339762,0.3705925452986048
2010-07-06,0.65668387264339,0.08812560567501332,0.3704561632088948
2010-07-07,0.659204619493102,0.08808541877956894,0.3703078592953848
2010-07-08,0.6587001315518336,0.08138027960323643,0.3701628193411487
2010-07-09,0.6590127900504407,0.07982052785803731,0.37001694129419077
2010-07-12,0.6589875647201346,0.07779563492066137,0.3698719187641191
2010-07-13,0.6589293625119929,0.07795527554964089,0.36972791235773855
2010-07-14,0.6563063683710981,0.07540166963328747,0.36959774095409437
2010-07-15,0.6575717358856435,0.08098859306423815,0.36946189356989567
2010-07-16,0.6590251157890599,0.08517919290890327,0.3693194585231009
2010-07-19,0.6618075143883614,0.08608099341723922,0.3691638236585436
2010-07-20,0.6610963478169171,0.08587092425404924,0.3690125228011663
2010-07-21,0.661869525220395,0.084967596705973,0.3688581125610585
2010-07-22,0.660828054085759,0.08382894641973776,0.3687096817278244
2010-07-23,0.6580871076903143,0.08143940103610355,0.3685756977807337
2010-07-26,0.6569928421609262,0.08158793364636707,0.36844785508102534
2010-07-27,0.6569391671039015,0.08156736858136714,0.36832091997010075
2010-07-28,0.6651599647825565,0.08577371156420537,0.36815351554633746
2010-07-29,0.6661143782684024,0.08838946289028904,0.3679821760772638
2010-07-30,0.6647365513984791,0.08882680145073851,0.3678185824398851
2010-08-02,0.6670912216093773,0.08851518702318592,0.3676440334196388
2010-08-03,0.6655374652529258,0.08456911978120799,0.367478125926276
2010-08-04,0.6722770632683818,0.0873863517264061,0.3672793499803027
2010-08-05,0.672446291930526,0.08437101091914687,0.3670807217707486
2010-08-06,0.6697477009151483,0.09346181850416838,0.3668965796573191
2010-08-09,0.663973570007145,0.09355479730034531,0.36674222890899677
2010-08-10,0.6676914581437524,0.09875280986360588,0.36657006047373303
2010-08-11,0.6662341862636293,0.09813363046926425,0.3664060392400462
2010-08-12,0.6644540674783534,0.1001083489017706,0.3662517387064542
2010-08-13,0.665078986086347,0.09982168505652458,0.3660950850824902
2010-08-16,0.6699085813976938,0.10541076186449609,0.36591506675008934
2010-08-17,0.6701880881208261,0.09819177427480599,0.36573455097573476
2010-08-18,0.6691336895339334,0.09395993714289064,0.36556020977318643
2010-08-19,0.6700677580249185,0.08693454799959764,0.3653820699341959
2010-08-20,0.6745629231546055,0.08657810616615917,0.3651823449687519
2010-08-23,0.6676050924424938,0.092118779346912,0.3650184077816957
2010-08-24,0.6659036280798366,0.09348152682280249,0.3648637976023881
2010-08-25,0.662344267786176,0.09285657930304705,0.36472775727544526
2010-08-26,0.6600191220231365,0.09218248416322307,0.3646040228789524
2010-08-27,0.6799932845443808,0.10347327842552227,0.3643810363418357
2010-08-30,0.6688686365011342,0.10915870972987818,0.3642147879776209
2010-08-31,0.6636275133258259,0.10932094777180305,0.36407557647110367
2010-09-01,0.66302956894801,0.10956977478912541,0.3639400507440081
2010-09-02,0.6518204252796992,0.1050695995616535,0.36386124836388956
2010-09-03,0.6641293563657444,0.1144269315058366,0.36372129534024134
2010-09-07,0.6604538866888227,0.11693119404544909,0.36360041943009597
2010-09-08,0.6591894600248493,0.11889547760955893,0.36348647003282125
2010-09-09,0.6573799508058097,0.12057475185366731,0.36338213792862806
2010-09-10,0.6658984647864797,0.1328657380426597,0.3632357349150525
2010-09-13,0.6672235293573296,0.12887695520448822,0.3630834385936906
2010-09-14,0.6670847228118312,0.13555040461701975,0.362932597786663
2010-09-15,0.6745962599091276,0.1410809485749457,0.36274495349818403
2010-09-16,0.6764906065091861,0.14251249493220447,0.3625487756981472
2010-09-17,0.6779840771438628,0.13822020711069155,0.36234611143393713
2010-09-20,0.6782624361279721,0.13893834637909103,0.36214306869612756
2010-09-21,0.6786280211991391,0.13928907687142056,0.36193921324665124
2010-09-22,0.6781621011332848,0.14088385884634821,0.36173870667475155
2010-09-23,0.6809818008303572,0.14333605332698174,0.361525104137226
2010-09-24,0.6802035550292532,0.14243268829101113,0.36131646084139357
2010-09-27,0.6766591582848401,0.13482959712538606,0.36112658274576237
2010-09-28,0.6774472552241153,0.1356161052967586,0.36093371355591297
2010-09-29,0.6841769060154562,0.1332534801248987,0.36070816045805615
2010-09-30,0.6831716062772473,0.1337147033377061,0.36048876162437965
2010-10-01,0.6849477249656799,0.13107254314948422,0.36026157919142937
2010-10-04,0.6869397941009766,0.12826174544936045,0.3600255723249673
2010-10-05,0.683218477018731,0.13089807844664775,0.3598093520782488
2010-10-06,0.683422189042377,0.13712571567477397,0.3595931943726457
2010-10-07,0.682257348976644,0.14426459902009936,0.35938394165589926
2010-10-08,0.6826584314050742,0.14609033099587226,0.3591737297905944
2010-10-11,0.6861392030621362,0.14899936648677747,0.35894716512633074
2010-10-12,0.688758855018129,0.15186449314998707,0.3587086350256084
2010-10-13,0.6906948026620644,0.15051364167368764,0.35846161783717007
2010-10-14,0.6891167411888532,0.14892737819302862,0.35822372604203995
2010-10-15,0.6958010152915969,0.15134027077633952,0.35795360233537177
2010-10-18,0.6950542849479888,0.1582668613248029,0.35768856289895495
2010-10-19,0.695425955921229,0.1582662319232996,0.3574229903048541
2010-10-20,0.6889783875518033,0.16024686453599155,0.35719098341557076
2010-10-21,0.6879263331692486,0.16557468629842062,0.35696539683264666
2010-10-22,0.6883903698813708,0.17156353357363197,0.3567386179990766
2010-10-25,0.6883914196584474,0.1721171176774964,0.35651296781078895
2010-10-26,0.6891978085827649,0.1720474066831726,0.3562844139288212
2010-10-27,0.6859930380187919,0.16951920418756097,0.35607302666908314
