Threshold,Pct_Vetoed,Crashes_Avoided,Crashes_Still_Hit,Crash_Avoid_Rate,Veto_Crash_Return,Veto_Gain_Missed,Net_Benefit
0.5,0.41684981684981687,121,23,0.8402777777777778,-14.036006947635647,35.132544167746246,-21.096537220110598
0.6,0.33601953601953605,113,31,0.7847222222222222,-13.290154997445809,30.120658993466208,-16.830503996020397
0.7,0.2625152625152625,85,59,0.5902777777777778,-9.02761399690843,24.78374615953016,-15.75613216262173
0.8,0.18925518925518925,55,89,0.3819444444444444,-5.378437058702135,18.723384046421458,-13.344946987719323
0.9,0.11916971916971918,33,111,0.22916666666666666,-2.9744609854236392,12.492941086852364,-9.518480101428725
