Feature,AUC
Amihud,0.7306989212927432
Kyle_Lambda,0.7190386856541884
E4,0.7181841761177908
VIX,0.6768612674454961
CARIA_SR,0.6690427716665246
GK_Volatility,0.6269888220914699
Vol_Ret_Divergence,0.6210552215684602
Vol_Trend,0.576396883260851
Sync,0.5010934524317102
Vol_Vol_Ratio,0.4533306330121373
Vol_Volatility,0.4484816022853244
Turnover_Decline,0.3551091142946477
