crisis_date,sr_mean_30d,sr_max_30d,sr_mean_60d,sr_max_60d,sr_mean_90d,sr_max_90d,lead_time_days,first_alert_date,crisis_name
2009-08-05,,,,,,,,,GFC_Lehman
2010-05-06,0.47763347763347763,0.9484126984126984,0.3433956916099773,0.9484126984126984,0.39756144393241166,0.9484126984126984,91.0,2010-02-04,Flash_Crash
2011-08-05,0.910894660894661,1.0,0.8580657069029161,1.0,0.7524321556579622,1.0,52.0,2011-06-14,Euro_Crisis
2015-08-24,0.38869047619047614,0.9246031746031746,0.3880662020905923,0.9246031746031746,0.3645124716553287,0.9246031746031746,165.0,2015-03-12,China_Crash
2020-03-11,0.8306878306878306,1.0,0.6509920634920634,1.0,0.46428571428571425,1.0,40.0,2020-01-31,COVID_Crash
2023-03-10,0.03306878306878306,0.10317460317460317,0.03297430083144369,0.13095238095238096,0.04596560846560846,0.2261904761904762,119.0,2022-11-11,SVB_Collapse
