Formula,AUC,Delta
E4 × (1 + (1-Sync)),0.6986091529237518,-0.008427591098751686
E4^(1+Sync),0.68867491241562,-0.01836183160688354
E4 × E4_raw,0.6845012951883181,-0.022535448834185345
E4 alone,0.6810735851206244,-0.025963158901879058
E4^2,0.6810735851206244,-0.025963158901879058
E4 + (1-Sync),0.6778229941040759,-0.029213749918427623
Original: E4 × (1+Sync),0.667612827195306,-0.03942391682719748
E4 × (1 - Sync),0.6663141929419807,-0.040722551080522806
E4 + Sync,0.6044239012788744,-0.10261284274362914
