Parameter,Best_Config,Best_AUC,Default_AUC,Worst_AUC,Range
E4_Weights,"(0.10,0.30,0.30,0.30)",0.6729856037065032,0.6728386313373086,0.6621647630245514,0.010820840681951771
Windows,"(10,42,126,63,504)",0.6972540953843281,0.6728386313373086,0.6027810122379502,0.09447308314637792
Crash_Quantile,0.01,0.8058453457121917,0.6728386313373086,0.5738882234916516,0.2319571222205401
Fwd_Window,5,0.6972370667847205,0.6728386313373086,0.49334591001257666,0.20389115677214387
