quantile,auc,n_crashes,is_default
0.01,0.8058453457121917,20,False
0.02,0.7681765960938782,51,False
0.03,0.69527321792692,82,False
0.05,0.6728386313373086,144,True
0.07,0.6401935075612486,214,False
0.1,0.6117436938890861,321,False
0.15,0.5738882234916516,506,False
