target,auc_mean,auc_std,n_folds
target_dd,0.39893896055793115,0.23637215767312353,24
target_worst10,0.4154532421636488,0.23709870003140945,40
target_highvol,0.5422224358862926,0.2294614410748468,37
target_highcorr,0.5452011834590176,0.18507834986106841,31
