date,close,adjClose,volume
2025-12-23,412.775,412.775,11206914
2025-12-22,408.23,408.23,14202068
2025-12-19,399.02,399.02,9894800
2025-12-18,398.57,398.57,11837600
2025-12-17,399.29,399.29,10456900
2025-12-16,395.89,395.89,9201600
2025-12-15,395.8,395.8,11345031
2025-12-12,395.44,395.44,16792100
2025-12-11,393.24,393.24,11240629
2025-12-10,389.05,389.05,9120500
2025-12-09,387.4,387.4,6358700
2025-12-08,385.42,385.42,6822119
2025-12-05,386.44,386.44,9449808
2025-12-04,387.13,387.13,6754434
2025-12-03,386.88,386.88,7886800
2025-12-02,387.24,387.24,8103923
2025-12-01,389.75,389.75,11177100
2025-11-28,387.88,387.88,7175407
2025-11-26,383.12,383.12,9184100
2025-11-25,380.08,380.08,10462806
2025-11-24,380.2,380.2,10085318
2025-11-21,374.27,374.27,13194600
2025-11-20,374.85,374.85,10506548
2025-11-19,374.96,374.96,10980420
2025-11-18,374.35,374.35,7818800
2025-11-17,371.65,371.65,13295248
2025-11-14,375.96,375.96,15198027
2025-11-13,382.87,382.87,15867900
2025-11-12,385.99,385.99,16203718
2025-11-11,379.87,379.87,10753200
2025-11-10,378.38,378.38,13456212
2025-11-07,368.31,368.31,11060400
2025-11-06,366.07,366.07,6891100
2025-11-05,366.51,366.51,8357300
2025-11-04,362.32,362.32,11540100
2025-11-03,368.78,368.78,7254300
2025-10-31,368.12,368.12,11077910
2025-10-30,370.13,370.13,14812800
2025-10-29,363.0,363.0,18891849
2025-10-28,364.38,364.38,19257600
2025-10-27,367.01,367.01,23657603
2025-10-24,377.52,377.52,13263803
2025-10-23,378.79,378.79,13695500
2025-10-22,377.28,377.28,30524126
2025-10-21,377.24,377.24,54101416
2025-10-20,403.15,403.15,34523022
2025-10-17,388.99,388.99,62025000
2025-10-16,396.45,396.45,33621444
2025-10-15,387.39,387.39,20598324
2025-10-14,380.79,380.79,18409632
2025-10-13,378.09,378.09,18514421
2025-10-10,369.12,369.12,24192800
2025-10-09,365.43,365.43,33674823
2025-10-08,372.3,372.3,28052300
2025-10-07,366.26,366.26,16836800
2025-10-06,364.38,364.38,17093700
2025-10-03,357.64,357.64,14464000
2025-10-02,354.79,354.79,16162100
2025-10-01,356.03,356.03,15573610
2025-09-30,355.47,355.47,13312400
2025-09-29,352.46,352.46,15719623
2025-09-26,346.74,346.74,11698212
2025-09-25,344.75,344.75,12639600
2025-09-24,343.32,343.32,12709100
2025-09-23,346.46,346.46,18384000
2025-09-22,345.05,345.05,12386419
2025-09-19,339.18,339.18,14982600
2025-09-18,335.62,335.62,14913300
2025-09-17,336.97,336.97,16535307
2025-09-16,339.59,339.59,12161527
2025-09-15,338.91,338.91,10569900
2025-09-12,335.42,335.42,9619709
2025-09-11,334.76,334.76,9082647
2025-09-10,335.26,335.26,12013931
2025-09-09,334.06,334.06,21641935
2025-09-08,334.82,334.82,18617325
2025-09-05,331.05,331.05,16065200
2025-09-04,326.69,326.69,11703127
2025-09-03,328.14,328.14,16062221
2025-09-02,325.59,325.59,21247534
2025-08-29,318.07,318.07,15642641
2025-08-28,315.03,315.03,9610202
2025-08-27,312.71,312.71,4320100
2025-08-26,312.08,312.08,11698500
2025-08-25,309.83,309.83,4044429
2025-08-22,310.58,310.58,8526500
2025-08-21,307.29,307.29,4809000
2025-08-20,308.36,308.36,6515411
2025-08-19,305.27,305.27,5029939
2025-08-18,306.95,306.95,6150140
2025-08-15,307.43,307.43,5990110
2025-08-14,307.25,307.25,5817726
2025-08-13,309.21,309.21,4718600
2025-08-12,308.27,308.27,9701725
2025-08-11,308.55,308.55,10326704
2025-08-08,313.05,313.05,19886802
2025-08-07,313.12,313.12,10891500
2025-08-06,310.5,310.5,7418200
2025-08-05,311.16,311.16,6997700
2025-08-04,310.91,310.91,7639030
2025-08-01,309.11,309.11,12843400
2025-07-31,302.96,302.96,8981000
2025-07-30,300.96,300.96,13459600
2025-07-29,306.25,306.25,5741114
2025-07-28,305.41,305.41,9275440
2025-07-25,307.4,307.4,9376400
2025-07-24,310.27,310.27,7698800
2025-07-23,312.18,312.18,10547520
2025-07-22,316.1,316.1,13691849
2025-07-21,313.13,313.13,10995800
2025-07-18,308.39,308.39,5574300
2025-07-17,307.59,307.59,6642300
2025-07-16,308.26,308.26,17693100
2025-07-15,306.73,306.73,8149008
2025-07-14,308.01,308.01,5772900
2025-07-11,309.14,309.14,9187302
2025-07-10,306.2,306.2,7059561
2025-07-09,305.52,305.52,10644100
2025-07-08,304.16,304.16,11840545
2025-07-07,307.37,307.37,7351641
2025-07-03,307.14,307.14,5275838
2025-07-02,309.25,309.25,8316400
2025-07-01,307.55,307.55,9335647
2025-06-30,304.83,304.83,8192100
2025-06-27,301.22,301.22,13301308
2025-06-26,306.78,306.78,6787517
2025-06-25,307.12,307.12,6733200
2025-06-24,306.19,306.19,12035200
2025-06-23,311.08,311.08,12687916
2025-06-20,310.13,310.13,8794711
2025-06-18,310.26,310.26,9370800
2025-06-17,311.94,311.94,8234115
2025-06-16,311.78,311.78,12848440
2025-06-13,316.29,316.29,16592949
2025-06-12,312.2,312.2,11531407
2025-06-11,308.37,308.37,9248800
2025-06-10,306.71,306.71,7071702
2025-06-09,306.62,306.62,7159036
2025-06-06,305.18,305.18,7787508
2025-06-05,309.33,309.33,10856012
2025-06-04,310.9,310.9,7462529
2025-06-03,308.91,308.91,9315100
2025-06-02,311.67,311.67,13593232
2025-05-30,303.6,303.6,9553300
2025-05-29,305.61,305.61,9502412
2025-05-28,303.81,303.81,8803333
2025-05-27,304.5,304.5,9578500
2025-05-23,309.75,309.75,13339500
2025-05-22,303.11,303.11,9704200
2025-05-21,305.82,305.82,12414518
2025-05-20,303.58,303.58,12851000
2025-05-19,298.03,298.03,11656300
2025-05-16,294.24,294.24,14173039
2025-05-15,297.84,297.84,13497735
2025-05-14,293.16,293.16,14800600
2025-05-13,299.46,299.46,10233603
2025-05-12,298.19,298.19,14375900
2025-05-09,306.84,306.84,6913131
2025-05-08,304.63,304.63,11927600
2025-05-07,310.75,310.75,7910000
2025-05-06,315.48,315.48,11445300
2025-05-05,306.88,306.88,8924009
2025-05-02,297.98,297.98,8678400
2025-05-01,297.46,297.46,14969100
2025-04-30,303.77,303.77,8331900
2025-04-29,306.06,306.06,6852106
2025-04-28,309.07,309.07,9375500
2025-04-25,304.73,304.73,10691600
2025-04-24,308.07,308.07,10845000
2025-04-23,303.65,303.65,25421500
2025-04-22,311.11,311.11,35242300
2025-04-21,315.59,315.59,20372300
2025-04-17,306.12,306.12,18287825
2025-04-16,307.47,307.47,20778100
2025-04-15,297.78,297.78,7924134
2025-04-14,296.23,296.23,12427600
2025-04-11,297.93,297.93,21080132
2025-04-10,292.35,292.35,19837800
2025-04-09,285.38,285.38,25342200
2025-04-08,275.2,275.2,12639534
2025-04-07,273.71,273.71,19807000
2025-04-04,279.72,279.72,21517200
2025-04-03,286.42,286.42,20524400
2025-04-02,288.16,288.16,11074800
2025-04-01,287.57,287.57,15923600
2025-03-31,288.14,288.14,13925100
2025-03-28,284.06,284.06,9563700
2025-03-27,281.97,281.97,8476335
2025-03-26,278.24,278.24,3741843
2025-03-25,278.47,278.47,5090200
2025-03-24,277.25,277.25,7870109
2025-03-21,278.49,278.49,9359340
2025-03-20,280.75,280.75,5863300
2025-03-19,281.11,281.11,8822200
2025-03-18,279.96,279.96,9596547
2025-03-17,276.73,276.73,8583400
2025-03-14,275.24,275.24,13365000
2025-03-13,275.13,275.13,13741500
2025-03-12,270.33,270.33,7236239
2025-03-11,269.16,269.16,8436600
2025-03-10,266.04,266.04,7593900
2025-03-07,268.39,268.39,10431236
2025-03-06,268.25,268.25,6136447
2025-03-05,269.62,269.62,6990400
2025-03-04,269.06,269.06,8481343
2025-03-03,266.74,266.74,7725647
2025-02-28,263.27,263.27,11504500
2025-02-27,264.93,264.93,9374626
2025-02-26,269.03,269.03,7276033
2025-02-25,268.62,268.62,10079800
2025-02-24,272.21,272.21,5374400
2025-02-21,270.74,270.74,8917431
2025-02-20,270.99,270.99,7356900
2025-02-19,270.85,270.85,9342500
2025-02-18,270.7,270.7,8185949
2025-02-14,266.29,266.29,11546721
2025-02-13,270.31,270.31,8347547
2025-02-12,267.67,267.67,9328600
2025-02-11,267.39,267.39,7169500
2025-02-10,268.37,268.37,13250312
2025-02-07,263.9,263.9,9157249
2025-02-06,263.43,263.43,8731433
2025-02-05,264.13,264.13,12681127
2025-02-04,262.5,262.5,9850412
2025-02-03,259.94,259.94,11521100
