date,close,adjClose,volume
2025-12-23,1.17932,1.17932,99276
2025-12-22,1.17619,1.17619,88227
2025-12-21,1.17208,1.17208,18714
2025-12-19,1.17096,1.17096,103815
2025-12-18,1.17236,1.17236,124575
2025-12-17,1.17401,1.17401,115848
2025-12-16,1.1748,1.1748,127188
2025-12-15,1.17539,1.17539,98726
2025-12-14,1.17336,1.17336,18810
2025-12-12,1.17403,1.17403,101244
2025-12-11,1.17386,1.17386,118971
2025-12-10,1.16958,1.16958,141058
2025-12-09,1.16266,1.16266,109991
2025-12-08,1.1637,1.1637,121540
2025-12-07,1.16548,1.16548,22023
2025-12-05,1.16438,1.16438,110152
2025-12-04,1.16449,1.16449,118830
2025-12-03,1.16714,1.16714,117230
2025-12-02,1.16254,1.16254,167222
2025-12-01,1.16092,1.16092,196895
2025-11-30,1.16006,1.16006,30135
2025-11-28,1.15985,1.15985,231273
2025-11-27,1.1596,1.1596,131100
2025-11-26,1.15963,1.15963,198788
2025-11-25,1.15697,1.15697,189353
2025-11-24,1.15216,1.15216,102705
2025-11-23,1.15208,1.15208,15721
2025-11-21,1.1513,1.1513,149797
2025-11-20,1.15285,1.15285,148595
2025-11-19,1.15384,1.15384,127770
2025-11-18,1.15807,1.15807,117652
2025-11-17,1.15923,1.15923,100031
2025-11-16,1.16141,1.16141,17727
2025-11-14,1.1622,1.1622,170872
2025-11-13,1.16345,1.16345,129088
2025-11-12,1.15932,1.15932,171319
2025-11-11,1.15825,1.15825,165484
2025-11-10,1.15571,1.15571,160947
2025-11-09,1.15429,1.15429,25045
2025-11-07,1.15664,1.15664,175769
2025-11-06,1.15471,1.15471,178952
2025-11-05,1.14925,1.14925,173150
2025-11-04,1.14826,1.14826,187975
2025-11-03,1.1519,1.1519,159404
2025-11-02,1.15269,1.15269,25149
2025-11-01,1.15725,1.15725,0
2025-10-31,1.15363,1.15363,160458
2025-10-30,1.15653,1.15653,192841
2025-10-29,1.16006,1.16006,194620
2025-10-28,1.16522,1.16522,168543
2025-10-27,1.1645,1.1645,151219
2025-10-26,1.16304,1.16304,20298
2025-10-24,1.16254,1.16254,140619
2025-10-23,1.16181,1.16181,154170
2025-10-22,1.161,1.161,181915
2025-10-21,1.16,1.16,197409
2025-10-20,1.16413,1.16413,170275
2025-10-19,1.16575,1.16575,22220
2025-10-17,1.16511,1.16511,204637
2025-10-16,1.16877,1.16877,198843
2025-10-15,1.16466,1.16466,164119
2025-10-14,1.16079,1.16079,198052
2025-10-13,1.15707,1.15707,149491
2025-10-12,1.16024,1.16024,32409
2025-10-10,1.16224,1.16224,178530
2025-10-09,1.15648,1.15648,183825
2025-10-08,1.1628,1.1628,158234
2025-10-07,1.16585,1.16585,178696
2025-10-06,1.17134,1.17134,178698
2025-10-05,1.17125,1.17125,36049
2025-10-03,1.17429,1.17429,126798
2025-10-02,1.17165,1.17165,138035
2025-10-01,1.17312,1.17312,200007
2025-09-30,1.17336,1.17336,144958
2025-09-29,1.17267,1.17267,131696
2025-09-28,1.17284,1.17284,21198
2025-09-27,1.17082,1.17082,0
2025-09-26,1.17002,1.17002,153207
2025-09-25,1.1666,1.1666,161288
2025-09-24,1.1738,1.1738,145268
2025-09-23,1.18148,1.18148,190955
2025-09-22,1.18025,1.18025,175799
2025-09-21,1.17361,1.17361,4208
2025-09-19,1.17472,1.17472,193975
2025-09-18,1.17861,1.17861,223965
2025-09-17,1.18126,1.18126,204425
2025-09-16,1.18668,1.18668,205491
2025-09-15,1.17609,1.17609,166548
2025-09-14,1.17265,1.17265,13262
2025-09-12,1.17352,1.17352,120293
2025-09-11,1.17354,1.17354,154051
2025-09-10,1.16943,1.16943,143169
2025-09-09,1.1711,1.1711,141490
2025-09-08,1.17633,1.17633,121792
2025-09-07,1.1709,1.1709,28297
2025-09-05,1.1718,1.1718,151459
2025-09-04,1.16507,1.16507,117115
2025-09-03,1.16612,1.16612,127371
2025-09-02,1.16424,1.16424,167780
2025-09-01,1.17114,1.17114,82697
2025-08-31,1.17074,1.17074,16552
2025-08-29,1.16858,1.16858,117173
2025-08-28,1.16825,1.16825,112672
2025-08-27,1.16376,1.16376,111724
2025-08-26,1.16408,1.16408,146198
2025-08-25,1.16204,1.16204,100762
2025-08-24,1.17074,1.17074,15839
2025-08-22,1.17219,1.17219,146753
2025-08-21,1.16064,1.16064,120410
2025-08-20,1.165,1.165,112854
2025-08-19,1.16465,1.16465,100262
2025-08-18,1.16612,1.16612,101097
2025-08-17,1.17032,1.17032,15236
2025-08-15,1.1705,1.1705,112684
2025-08-14,1.16488,1.16488,144506
2025-08-13,1.17049,1.17049,119582
2025-08-12,1.16732,1.16732,187442
2025-08-11,1.1616,1.1616,106961
2025-08-10,1.16754,1.16754,16671
2025-08-08,1.16416,1.16416,124659
2025-08-07,1.1664,1.1664,149731
2025-08-06,1.16602,1.16602,227364
2025-08-05,1.15752,1.15752,237946
2025-08-04,1.15726,1.15726,282020
2025-08-03,1.1579,1.1579,53892
2025-08-01,1.15874,1.15874,460850
2025-07-31,1.14148,1.14148,530030
2025-07-30,1.14055,1.14055,319392
2025-07-29,1.15454,1.15454,277816
2025-07-28,1.15887,1.15887,269889
2025-07-27,1.17549,1.17549,42187
2025-07-25,1.17417,1.17417,230444
2025-07-24,1.1749,1.1749,429700
2025-07-23,1.1773,1.1773,237178
2025-07-22,1.17544,1.17544,176919
2025-07-21,1.16956,1.16956,188186
2025-07-20,1.16291,1.16291,32957
2025-07-18,1.16255,1.16255,202087
2025-07-17,1.15976,1.15976,400668
2025-07-16,1.16417,1.16417,356651
2025-07-15,1.16024,1.16024,213777
